service_id,date,exception_type
Daily-2,20260501,2
Daily-2,20260504,2
Daily-2,20260505,2
Daily-2,20260506,2
Daily-2,20260507,2
Daily-2,20260508,2
Daily-2,20260511,2
Daily-2,20260512,2
Daily-2,20260513,2
Daily-2,20260514,2
Daily-2,20260515,2
Daily-2,20260518,2
Daily-2,20260519,2
Daily-2,20260520,2
Daily-2,20260521,2
Daily-2,20260522,2
Daily-2,20260525,2
Daily-2,20260526,2
Daily-2,20260527,2
Daily-2,20260528,2
Daily-2,20260529,2
ExMon-1,20260505,2
ExSun-1,20260601,2
ExSun-1,20260710,2
ExTue-1,20260505,1
FriSat-1,20260710,2
FriSat-2,20260506,1
FriSat-2,20260507,1
Friday-1,20260710,2
Friday-2,20260703,2
Friday-2,20260710,2
Friday-2,20260717,2
Friday-2,20260724,2
Friday-2,20260731,2
Friday-3,20260512,1
Friday-3,20260513,1
Friday-3,20260518,1
Friday-3,20260710,2
Other-1,20260501,1
Other-1,20260504,1
Other-1,20260505,1
Other-1,20260506,1
Other-1,20260507,1
Other-1,20260508,1
Other-1,20260511,1
Other-1,20260512,1
Other-1,20260513,1
Other-1,20260514,1
Other-1,20260515,1
Other-1,20260518,1
Other-1,20260519,1
Other-1,20260520,1
Other-1,20260521,1
Other-1,20260522,1
Other-1,20260525,1
Other-1,20260526,1
Other-1,20260527,1
Other-1,20260528,1
Other-1,20260529,1
Other-10,20260504,1
Other-10,20260518,1
Other-11,20260511,1
Other-11,20260525,1
Other-12,20260501,1
Other-12,20260530,1
Other-12,20260601,1
Other-12,20260605,1
Other-13,20260531,1
Other-13,20260601,1
Other-14,20260503,1
Other-14,20260531,1
Other-14,20260601,1
Other-14,20260607,1
Other-15,20260510,1
Other-15,20260517,1
Other-15,20260524,1
Other-15,20260614,1
Other-15,20260621,1
Other-15,20260628,1
Other-16,20260501,1
Other-16,20260502,1
Other-16,20260503,1
Other-16,20260504,1
Other-16,20260505,1
Other-16,20260506,1
Other-16,20260507,1
Other-16,20260508,1
Other-16,20260509,1
Other-16,20260510,1
Other-17,20260512,1
Other-17,20260513,1
Other-17,20260518,1
Other-18,20260510,1
Other-19,20260518,1
Other-2,20260503,1
Other-2,20260510,1
Other-2,20260517,1
Other-2,20260524,1
Other-20,20260521,1
Other-21,20260503,1
Other-21,20260517,1
Other-22,20260512,1
Other-22,20260513,1
Other-22,20260518,1
Other-22,20260520,1
Other-23,20260507,1
Other-23,20260512,1
Other-24,20260512,1
Other-25,20260513,1
Other-25,20260518,1
Other-25,20260520,1
Other-26,20260517,1
Other-27,20260506,1
Other-27,20260507,1
Other-27,20260512,1
Other-28,20260505,1
Other-28,20260506,1
Other-28,20260513,1
Other-28,20260514,1
Other-28,20260519,1
Other-28,20260526,1
Other-28,20260527,1
Other-28,20260528,1
Other-29,20260520,1
Other-3,20260505,1
Other-3,20260513,1
Other-3,20260514,1
Other-3,20260519,1
Other-3,20260526,1
Other-3,20260527,1
Other-3,20260528,1
Other-30,20260509,1
Other-30,20260510,1
Other-30,20260523,1
Other-30,20260524,1
Other-31,20260510,1
Other-31,20260524,1
Other-32,20260509,1
Other-32,20260523,1
Other-33,20260509,1
Other-33,20260510,1
Other-33,20260523,1
Other-34,20260503,1
Other-34,20260510,1
Other-34,20260517,1
Other-35,20260523,1
Other-36,20260524,1
Other-4,20260506,1
Other-4,20260520,1
Other-5,20260505,1
Other-5,20260506,1
Other-5,20260513,1
Other-5,20260514,1
Other-5,20260519,1
Other-5,20260520,1
Other-5,20260526,1
Other-5,20260527,1
Other-5,20260528,1
Other-6,20260509,1
Other-6,20260510,1
Other-6,20260524,1
Other-7,20260509,1
Other-8,20260516,1
Other-9,20260504,1
Other-9,20260511,1
Other-9,20260518,1
Other-9,20260525,1
Saturday-2,20260516,2
Saturday-2,20260530,2
Saturday-3,20260516,2
Saturday-3,20260523,2
Saturday-3,20260530,2
Saturday-4,20260530,2
Saturday-5,20260523,2
Saturday-5,20260530,2
Saturday-6,20260509,2
Saturday-6,20260523,2
Saturday-6,20260530,2
Saturday-7,20260509,2
Saturday-7,20260516,2
Saturday-7,20260523,2
Saturday-7,20260530,2
Saturday-8,20260509,2
Saturday-8,20260516,2
Saturday-8,20260530,2
Sunday-1,20260601,1
Sunday-1,20260710,1
Sunday-2,20260531,2
Sunday-2,20260705,2
Sunday-2,20260712,2
Sunday-2,20260719,2
Sunday-2,20260726,2
Sunday-3,20260710,1
Sunday-3,20260531,2
Sunday-4,20260710,1
Sunday-4,20260510,2
Sunday-4,20260531,2
Sunday-5,20260710,1
Sunday-5,20260503,2
Sunday-5,20260510,2
Sunday-5,20260517,2
Sunday-5,20260531,2
Sunday-6,20260710,1
Sunday-6,20260503,2
Sunday-6,20260510,2
Sunday-6,20260517,2
Sunday-6,20260524,2
Sunday-6,20260531,2
Sunday-7,20260710,1
Sunday-7,20260510,2
Sunday-7,20260524,2
Sunday-7,20260531,2
Sunday-9,20260710,1
Sunday-9,20260503,2
Sunday-9,20260517,2
Sunday-9,20260531,2
Thursday-1,20260501,1
Thursday-1,20260508,1
Thursday-1,20260515,1
Thursday-1,20260522,1
Thursday-1,20260529,1
Thursday-1,20260605,1
Thursday-1,20260612,1
Thursday-1,20260619,1
Thursday-1,20260626,1
Thursday-1,20260703,1
Thursday-1,20260717,1
Thursday-1,20260724,1
Thursday-1,20260731,1
Tuesday-1,20260504,1
Tuesday-1,20260511,1
Tuesday-1,20260518,1
Tuesday-1,20260525,1
Tuesday-1,20260608,1
Tuesday-1,20260615,1
Tuesday-1,20260622,1
Tuesday-1,20260629,1
Tuesday-1,20260706,1
Tuesday-1,20260713,1
Tuesday-1,20260720,1
Tuesday-1,20260727,1
Wednesday-1,20260515,1
Wednesday-1,20260619,1
Wednesday-1,20260701,2
