Data_file_name,Column_name,Shapefile_name,Unit_count,Subject_population,Year,Measure,Variable1,Variable1_category,Field_name_alias
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,SA22023_V1_00,SA22023_V1,,,,,Usual residence - Statistical area 2,Code,Statistical area 2 (SA2) 2023 code
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,SA22023_V1_00_NAME,SA22023__1,,,,,Usual residence - Statistical area 2,Name,Statistical area 2 (SA2) 2023 name
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,SA22023_V1_00_NAME_ASCII,SA22023__2,,,,,Usual residence - Statistical area 2,ASCII name,Statistical area 2 (SA2) 2023 name no macrons
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_1,VAR_1_1,Individual,Census usually resident population count,2013,Count,Census usually resident population count,Total,"Subject pop: Census usually resident population count, Year: 2013, Measure: Count, Var1: Census usually resident population count (Total)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_2,VAR_1_2,Individual,Census usually resident population count,2018,Count,Census usually resident population count,Total,"Subject pop: Census usually resident population count, Year: 2018, Measure: Count, Var1: Census usually resident population count (Total)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_3,VAR_1_3,Individual,Census usually resident population count,2023,Count,Census usually resident population count,Total,"Subject pop: Census usually resident population count, Year: 2023, Measure: Count, Var1: Census usually resident population count (Total)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_4,VAR_1_4,Individual,Census night population count,2013,Count,Census night population count,Total,"Subject pop: Census night population count, Year: 2013, Measure: Count, Var1: Census night population count (Total)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_5,VAR_1_5,Individual,Census night population count,2018,Count,Census night population count,Total,"Subject pop: Census night population count, Year: 2018, Measure: Count, Var1: Census night population count (Total)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_6,VAR_1_6,Individual,Census night population count,2023,Count,Census night population count,Total,"Subject pop: Census night population count, Year: 2023, Measure: Count, Var1: Census night population count (Total)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_7,VAR_1_7,Individual,Census usually resident population count,2013,Count,Age (5-year groups),0-4 years,"Subject pop: Census usually resident population count, Year: 2013, Measure: Count, Var1: Age (5-year groups - 0-4 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_8,VAR_1_8,Individual,Census usually resident population count,2013,Count,Age (5-year groups),5-9 years,"Subject pop: Census usually resident population count, Year: 2013, Measure: Count, Var1: Age (5-year groups - 5-9 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_9,VAR_1_9,Individual,Census usually resident population count,2013,Count,Age (5-year groups),10-14 years,"Subject pop: Census usually resident population count, Year: 2013, Measure: Count, Var1: Age (5-year groups - 10-14 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_10,VAR_1_10,Individual,Census usually resident population count,2013,Count,Age (5-year groups),15-19 years,"Subject pop: Census usually resident population count, Year: 2013, Measure: Count, Var1: Age (5-year groups - 15-19 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_11,VAR_1_11,Individual,Census usually resident population count,2013,Count,Age (5-year groups),20-24 years,"Subject pop: Census usually resident population count, Year: 2013, Measure: Count, Var1: Age (5-year groups - 20-24 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_12,VAR_1_12,Individual,Census usually resident population count,2013,Count,Age (5-year groups),25-29 years,"Subject pop: Census usually resident population count, Year: 2013, Measure: Count, Var1: Age (5-year groups - 25-29 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_13,VAR_1_13,Individual,Census usually resident population count,2013,Count,Age (5-year groups),30-34 years,"Subject pop: Census usually resident population count, Year: 2013, Measure: Count, Var1: Age (5-year groups - 30-34 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_14,VAR_1_14,Individual,Census usually resident population count,2013,Count,Age (5-year groups),35-39 years,"Subject pop: Census usually resident population count, Year: 2013, Measure: Count, Var1: Age (5-year groups - 35-39 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_15,VAR_1_15,Individual,Census usually resident population count,2013,Count,Age (5-year groups),40-44 years,"Subject pop: Census usually resident population count, Year: 2013, Measure: Count, Var1: Age (5-year groups - 40-44 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_16,VAR_1_16,Individual,Census usually resident population count,2013,Count,Age (5-year groups),45-49 years,"Subject pop: Census usually resident population count, Year: 2013, Measure: Count, Var1: Age (5-year groups - 45-49 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_17,VAR_1_17,Individual,Census usually resident population count,2013,Count,Age (5-year groups),50-54 years,"Subject pop: Census usually resident population count, Year: 2013, Measure: Count, Var1: Age (5-year groups - 50-54 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_18,VAR_1_18,Individual,Census usually resident population count,2013,Count,Age (5-year groups),55-59 years,"Subject pop: Census usually resident population count, Year: 2013, Measure: Count, Var1: Age (5-year groups - 55-59 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_19,VAR_1_19,Individual,Census usually resident population count,2013,Count,Age (5-year groups),60-64 years,"Subject pop: Census usually resident population count, Year: 2013, Measure: Count, Var1: Age (5-year groups - 60-64 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_20,VAR_1_20,Individual,Census usually resident population count,2013,Count,Age (5-year groups),65-69 years,"Subject pop: Census usually resident population count, Year: 2013, Measure: Count, Var1: Age (5-year groups - 65-69 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_21,VAR_1_21,Individual,Census usually resident population count,2013,Count,Age (5-year groups),70-74 years,"Subject pop: Census usually resident population count, Year: 2013, Measure: Count, Var1: Age (5-year groups - 70-74 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_22,VAR_1_22,Individual,Census usually resident population count,2013,Count,Age (5-year groups),75-79 years,"Subject pop: Census usually resident population count, Year: 2013, Measure: Count, Var1: Age (5-year groups - 75-79 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_23,VAR_1_23,Individual,Census usually resident population count,2013,Count,Age (5-year groups),80-84 years,"Subject pop: Census usually resident population count, Year: 2013, Measure: Count, Var1: Age (5-year groups - 80-84 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_24,VAR_1_24,Individual,Census usually resident population count,2013,Count,Age (5-year groups),85-89 years,"Subject pop: Census usually resident population count, Year: 2013, Measure: Count, Var1: Age (5-year groups - 85-89 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_25,VAR_1_25,Individual,Census usually resident population count,2013,Count,Age (5-year groups),90 years and over,"Subject pop: Census usually resident population count, Year: 2013, Measure: Count, Var1: Age (5-year groups - 90 years and over)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_26,VAR_1_26,Individual,Census usually resident population count,2013,Count,Age (5-year groups),Total,"Subject pop: Census usually resident population count, Year: 2013, Measure: Count, Var1: Age (5-year groups - Total)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_27,VAR_1_27,Individual,Census usually resident population count,2013,Median,Age,Median,"Subject pop: Census usually resident population count, Year: 2013, Measure: Median, Var1: Age (Median)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_28,VAR_1_28,Individual,Census usually resident population count,2018,Count,Age (5-year groups),0-4 years,"Subject pop: Census usually resident population count, Year: 2018, Measure: Count, Var1: Age (5-year groups - 0-4 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_29,VAR_1_29,Individual,Census usually resident population count,2018,Count,Age (5-year groups),5-9 years,"Subject pop: Census usually resident population count, Year: 2018, Measure: Count, Var1: Age (5-year groups - 5-9 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_30,VAR_1_30,Individual,Census usually resident population count,2018,Count,Age (5-year groups),10-14 years,"Subject pop: Census usually resident population count, Year: 2018, Measure: Count, Var1: Age (5-year groups - 10-14 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_31,VAR_1_31,Individual,Census usually resident population count,2018,Count,Age (5-year groups),15-19 years,"Subject pop: Census usually resident population count, Year: 2018, Measure: Count, Var1: Age (5-year groups - 15-19 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_32,VAR_1_32,Individual,Census usually resident population count,2018,Count,Age (5-year groups),20-24 years,"Subject pop: Census usually resident population count, Year: 2018, Measure: Count, Var1: Age (5-year groups - 20-24 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_33,VAR_1_33,Individual,Census usually resident population count,2018,Count,Age (5-year groups),25-29 years,"Subject pop: Census usually resident population count, Year: 2018, Measure: Count, Var1: Age (5-year groups - 25-29 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_34,VAR_1_34,Individual,Census usually resident population count,2018,Count,Age (5-year groups),30-34 years,"Subject pop: Census usually resident population count, Year: 2018, Measure: Count, Var1: Age (5-year groups - 30-34 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_35,VAR_1_35,Individual,Census usually resident population count,2018,Count,Age (5-year groups),35-39 years,"Subject pop: Census usually resident population count, Year: 2018, Measure: Count, Var1: Age (5-year groups - 35-39 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_36,VAR_1_36,Individual,Census usually resident population count,2018,Count,Age (5-year groups),40-44 years,"Subject pop: Census usually resident population count, Year: 2018, Measure: Count, Var1: Age (5-year groups - 40-44 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_37,VAR_1_37,Individual,Census usually resident population count,2018,Count,Age (5-year groups),45-49 years,"Subject pop: Census usually resident population count, Year: 2018, Measure: Count, Var1: Age (5-year groups - 45-49 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_38,VAR_1_38,Individual,Census usually resident population count,2018,Count,Age (5-year groups),50-54 years,"Subject pop: Census usually resident population count, Year: 2018, Measure: Count, Var1: Age (5-year groups - 50-54 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_39,VAR_1_39,Individual,Census usually resident population count,2018,Count,Age (5-year groups),55-59 years,"Subject pop: Census usually resident population count, Year: 2018, Measure: Count, Var1: Age (5-year groups - 55-59 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_40,VAR_1_40,Individual,Census usually resident population count,2018,Count,Age (5-year groups),60-64 years,"Subject pop: Census usually resident population count, Year: 2018, Measure: Count, Var1: Age (5-year groups - 60-64 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_41,VAR_1_41,Individual,Census usually resident population count,2018,Count,Age (5-year groups),65-69 years,"Subject pop: Census usually resident population count, Year: 2018, Measure: Count, Var1: Age (5-year groups - 65-69 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_42,VAR_1_42,Individual,Census usually resident population count,2018,Count,Age (5-year groups),70-74 years,"Subject pop: Census usually resident population count, Year: 2018, Measure: Count, Var1: Age (5-year groups - 70-74 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_43,VAR_1_43,Individual,Census usually resident population count,2018,Count,Age (5-year groups),75-79 years,"Subject pop: Census usually resident population count, Year: 2018, Measure: Count, Var1: Age (5-year groups - 75-79 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_44,VAR_1_44,Individual,Census usually resident population count,2018,Count,Age (5-year groups),80-84 years,"Subject pop: Census usually resident population count, Year: 2018, Measure: Count, Var1: Age (5-year groups - 80-84 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_45,VAR_1_45,Individual,Census usually resident population count,2018,Count,Age (5-year groups),85-89 years,"Subject pop: Census usually resident population count, Year: 2018, Measure: Count, Var1: Age (5-year groups - 85-89 years)"
